,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HIP13917,02 59 16.7596,+01 14 40.476,12.387,-5.149,8.66,8.63,8.504,8.499,8.519
HIP24607,05 16 41.0392,+01 56 50.380,-11.467,-7.519,6.402,6.4079999999999995,6.353,6.377999999999999,6.303
HIP45167,09 12 12.8805,+03 52 01.126,-51.3,-5.71,6.127000000000001,6.131,6.142,6.162999999999999,6.119
HIP22923,04 55 58.3522,+05 23 56.487,-16.758,-14.817,6.52,6.485,6.391,6.45,6.417000000000001
HIP33297,06 55 34.6182,+08 19 27.432,-13.74,4.122,6.305,6.257999999999999,6.178,6.165,6.131
HIP24555,05 16 04.1347,+11 20 28.878,-8.003,-6.056,5.5,5.515,5.443,5.474,5.462000000000001
HIP98400,19 59 35.1125,+11 53 21.782,-0.03,-3.3810000000000002,9.09,9.03,8.791,8.767000000000001,8.756
HIP65599,13 26 58.9426,+11 54 30.791,0.7859999999999999,-5.229,7.97,8.0,7.928999999999999,7.975,7.938
HIP98640,20 02 04.9381,+12 19 19.545,3.423,0.611,9.42,9.36,9.096,9.082,9.046
HD111744,12 51 23.3274,+12 22 21.999,-6.08,13.24,8.86,8.86,8.73,8.787,8.76
HIP75230,15 22 23.2337,+12 34 03.076,-0.7190000000000001,-2.99,6.275,6.28,6.2170000000000005,6.256,6.247999999999999
HD96781,11 08 56.3669,+13 21 11.258,-6.433,-0.332,10.22,10.2,10.058,10.036,10.035
HD56248,07 16 54.6066,+15 26 26.614,-1.8559999999999999,-9.158,9.08,9.04,8.959,9.015,8.964
HD57208,07 20 50.5653,+15 39 55.892,-8.533,-8.386000000000001,8.91,8.92,8.906,8.946,8.943999999999999
HD101060,11 37 57.8095,+15 46 36.868,-7.1979999999999995,-2.144,8.77,8.78,8.79,8.828,8.793
HD121880,13 57 52.1210,+16 12 07.519,16.63,-48.928999999999995,7.646,7.582999999999999,7.39,7.462000000000001,7.4079999999999995
HIP79332,16 11 28.7384,+16 39 56.488,3.534,4.791,6.099,6.082000000000001,6.0120000000000005,6.0360000000000005,6.0329999999999995
HD57450,07 21 54.7650,+16 40 44.199,-1.291,-2.088,9.28,9.3,9.279,9.282,9.277000000000001
HIP18717,04 00 36.8877,+17 17 47.971,1.7919999999999998,-31.228,6.352,6.305,6.064,6.09,6.074
HD124773,14 15 11.0996,+17 31 03.270,-16.89,7.1129999999999995,8.97,8.96,8.991,9.071,9.017000000000001
HIP88429,18 03 14.5626,+19 36 47.356,-4.631,-1.0190000000000001,6.45,6.42,6.275,6.274,6.279
HD252510,06 09 44.8499,+20 04 41.920,1.3780000000000001,-3.883,9.79,9.78,9.568999999999999,9.571,9.533
HIP95560,19 26 13.2462,+20 05 51.839,3.395,-34.787,5.585,5.591,5.575,5.627000000000001,5.6129999999999995
HD109055,12 31 41.2769,+22 07 24.419,-42.17100000000001,3.1260000000000003,8.86,8.82,8.731,8.749,8.735
HIP59861,12 16 33.8853,+24 36 33.739,-1.9680000000000002,-16.494,10.68,10.73,10.592,10.637,10.629000000000001
HIP14719,03 10 08.8393,+27 49 11.158,17.598,-50.863,6.4270000000000005,6.412000000000001,6.29,6.335,6.318
HD46053,06 32 22.2333,+29 22 48.722,5.335,-15.245999999999999,8.98,8.92,8.675,8.676,8.661
HD258439,06 30 53.8027,+29 25 23.624,1.203,-4.868,9.49,9.43,9.155,9.113999999999999,9.104
7Tri,02 15 56.2880,+33 21 32.020,-15.585999999999999,-31.951999999999998,5.239,5.249,5.195,5.22,5.228
HIP55627,11 23 46.4660,+34 14 33.809,16.85,-14.02,9.25,9.24,9.2,9.181000000000001,9.165
HD227934,20 08 54.8913,+35 24 05.693,0.606,-2.944,9.44,9.42,9.065,9.09,9.048
HIP18769,04 01 14.8320,+36 59 22.104,-7.449,-0.555,6.3870000000000005,6.388999999999999,6.256,6.292000000000001,6.268
HD192745,20 15 02.5008,+37 23 24.287,-11.405,-9.41,8.2,8.19,8.103,8.138,8.138
